ORDER,UserLanguage,Consent1,Consent2,Consent3,Consent4,Consent5,T_Consent_First Click,T_Consent_Last Click,T_Consent_Page Submit,T_Consent_Click Count,Prolific_ID,T_Prolific_ID_First Click,T_Prolific_ID_Last Click,T_Prolific_ID_Page Submit,T_Prolific_ID_Click Count,T_Gen_Ins_First Click,T_Gen_Ins_Last Click,T_Gen_Ins_Page Submit,T_Gen_Ins_Click Count,Age,Gender,Nationality,Nationality_3_TEXT,English,English_2_TEXT,City,Profession,Football_1,T_Dem_First Click,T_Dem_Last Click,T_Dem_Page Submit,T_Dem_Click Count,GENERATION_FACTOR,GENERATION_NUMERIC,CHAIN,CHAIN_NUM,CONDITION,INDIVIDUAL,T_READING,T_RECALL,RECALL,PRE_RECALL,RECALL_QUALITATIVE
1,EN-GB,YES,YES,YES,YES,YES,9.98,30.394,31.074,6,5c86a25570bc1b001262d14e,6.717,11.562,12.841,2,0,0,11.305,0,36,Male,UK,,Yes,,London,Curator,7,1.249,15.856,16.678,8,F1,1,CH1,1,A,JOHN,24.348,119.027,11,9,John scored the most goals in the league last year. He was voted captain by his team mates and is very popular among them. They listen to him carefully and mirror his actions. They fix their eyes on him when listening to him. He is very modest about his football skills. He is very popular outside of the team and is often invited to parties as people want to spend time with him.
1,EN-GB,YES,YES,YES,YES,YES,3.878,41.294,43.426,29,5c00fefa4c14cf00019cc374,19.129,19.129,22.598,1,3.511,13.233,14.879,6,38,Male,UK,,Yes,,birmingham,police officer,6,5.218,39.502,40.895,36,F2,2,CH1,1,A,JOHN,16.299,78.207,8,6,"john is captain, scores lots of goals. Everyone listens to him, he is influential and people keep eye contact with him when he talks, he is modest about his football skills and gets invited to all parties"
1,EN-GB,YES,YES,YES,YES,YES,0.831,16.959,17.618,10,5c790a643454d70015df815f,1.809,13.401,16.033,4,0.68,1.761,3.084,3,35,Male,UK,,Yes,,Cardiff,Shift Controller ,7,2.601,30.084,31.418,19,F3,3,CH1,1,A,JOHN,10.587,79.672,6,5,"Good footballer, very popular and people listen to him and maintain eye contact- he doesn’t brag about his abilities and go to all the parties"
1,EN-GB,YES,YES,YES,YES,YES,1.626,28.249,29.684,21,5bf31dc92fc4350001e8a3fb,14.635,14.635,16.192,1,4.284,42.256,47.513,5,29,Female,UK,,Yes,,Leeds,Human Resources Staff,6,1.804,37.936,38.732,14,F4,4,CH1,1,A,JOHN,19.479,64.77,3,2,"He's a good player but doesn't brag. He is well liked, goes to all parties and maintains good eye contact. "
2,EN-GB,YES,YES,YES,YES,YES,9.98,30.394,31.074,6,5c86a25570bc1b001262d14e,6.717,11.562,12.841,2,0,0,11.305,0,36,Male,UK,,Yes,,London,Curator,7,1.249,15.856,16.678,8,F1,1,CH1,1,A,BILL,39.073,93.604,6,5,Bill's team mates are afraid of him. He injured two players recently and is dangerous on the pitch. He self-appointed himself captain without the consent of his team mates. He is not modest about his skills. He is not invited to parties outside of his role in the team.
2,EN-GB,YES,YES,YES,YES,YES,3.878,41.294,43.426,29,5c00fefa4c14cf00019cc374,19.129,19.129,22.598,1,3.511,13.233,14.879,6,38,Male,UK,,Yes,,birmingham,police officer,6,5.218,39.502,40.895,36,F2,2,CH1,1,A,BILL,7.031,83.415,5,4,"people are afraid of bill, he injured 2 playes. He is not modest about his football skill, he voted himself captain without consent of his team. he does not get invited to parties"
2,EN-GB,YES,YES,YES,YES,YES,0.831,16.959,17.618,10,5c790a643454d70015df815f,1.809,13.401,16.033,4,0.68,1.761,3.084,3,35,Male,UK,,Yes,,Cardiff,Shift Controller ,7,2.601,30.084,31.418,19,F3,3,CH1,1,A,BILL,7.887,65.987,6,5,Aggressive footballer who injuries two people- thinks he’s brilliant at football and voted himself to be captain. Doesn’t go to parties and people are afraid of him
2,EN-GB,YES,YES,YES,YES,YES,1.626,28.249,29.684,21,5bf31dc92fc4350001e8a3fb,14.635,14.635,16.192,1,4.284,42.256,47.513,5,29,Female,UK,,Yes,,Leeds,Human Resources Staff,6,1.804,37.936,38.732,14,F4,4,CH1,1,A,BILL,11.826,86.023,6,5,Bill is an aggressive footballer who injured 2 people. He doesn't go to parties and people are afraid of him. He self appointed him as captain and likes to brag. 
3,EN-GB,YES,YES,YES,YES,YES,9.98,30.394,31.074,6,5c86a25570bc1b001262d14e,6.717,11.562,12.841,2,0,0,11.305,0,36,Male,UK,,Yes,,London,Curator,7,1.249,15.856,16.678,8,F1,1,CH1,1,A,JAMES,27.976,118.911,10,8,James is an average footballer having only scored a couple of goals this season. His team mates don't pay full attention to him when he is talking or fix their eyes on him for long when he is speaking. He is not very influential in team discussions. He ran for captaincy but only received 2 votes. He is modest about his football skills. He is invited to parties among by his closest friends. 
3,EN-GB,YES,YES,YES,YES,YES,3.878,41.294,43.426,29,5c00fefa4c14cf00019cc374,19.129,19.129,22.598,1,3.511,13.233,14.879,6,38,Male,UK,,Yes,,birmingham,police officer,6,5.218,39.502,40.895,36,F2,2,CH1,1,A,JAMES,12.101,69.969,9,7,"James is average and has scored 2 goals last season. people dont look at him for long when he talks, he is not very influential.he got 2 votes to be captain. he is modest about his football skills. he gets invited to parties with close frends"
